iter	Logloss
0	0.6843955523
1	0.6727877426
2	0.6602464685
3	0.6497810554
4	0.6410927664
5	0.6330640816
6	0.6257979225
7	0.6181536184
8	0.6098175385
9	0.6021559761
10	0.5976764664
11	0.588684883
12	0.5831850673
13	0.5755669754
14	0.5674556952
15	0.5619640273
16	0.5557187529
17	0.5499534196
18	0.5463763663
19	0.5386708753
20	0.5337547656
21	0.5270292086
22	0.5213988737
23	0.5188353694
24	0.5118973606
25	0.5078658238
26	0.5004696943
27	0.4943775247
28	0.4901365871
29	0.4855848583
30	0.4771466879
31	0.4721281537
32	0.4680911861
33	0.4634968712
34	0.4585623861
35	0.4555311127
36	0.4509524516
37	0.4476892977
38	0.4452734979
39	0.4416528774
40	0.4393559594
41	0.436211664
42	0.4346360967
43	0.4306206382
44	0.4264979796
45	0.4240164588
46	0.419079109
47	0.4169107061
48	0.4103844472
49	0.4064976859
50	0.3999496046
51	0.3960176836
52	0.3936958258
53	0.3891450563
54	0.3863666061
55	0.3839725824
56	0.3826963926
57	0.3783462968
58	0.3761005372
59	0.3704407196
60	0.3678740126
61	0.3658428598
62	0.3604337675
63	0.3554010317
64	0.3508415401
65	0.3456481648
66	0.341953491
67	0.3383168147
68	0.3353528989
69	0.3319854257
70	0.3290030908
71	0.3246094415
72	0.3223322749
73	0.319288007
74	0.3159230161
75	0.313071058
76	0.309725394
77	0.3078330626
78	0.3047891543
79	0.2999577877
80	0.297239435
81	0.2948781095
82	0.292701514
83	0.2901486277
84	0.2863316507
85	0.2851117158
86	0.2826381397
87	0.279413175
88	0.2774292464
89	0.2756580394
90	0.2723593401
91	0.2712765714
92	0.2700650215
93	0.2679589051
94	0.2657761193
95	0.261966795
96	0.2598114333
97	0.2590329385
98	0.2565523841
99	0.2550992161
100	0.2524881773
101	0.2510961112
102	0.2487577809
103	0.2467463916
104	0.2440845114
105	0.2431729604
106	0.2422907229
107	0.240851595
108	0.2399343271
109	0.2381924699
110	0.2370937486
111	0.2350567778
112	0.2329973574
113	0.2316743796
114	0.2304518854
115	0.2299036694
116	0.2283443581
117	0.2252440754
118	0.222626227
119	0.2212350115
120	0.2198585347
121	0.2184415317
122	0.2161870458
123	0.2138086172
124	0.2120230823
125	0.2107147629
126	0.2090772842
127	0.2070724547
128	0.2055434366
129	0.2041421498
130	0.2024208202
131	0.2014885736
132	0.2001213727
133	0.1985098758
134	0.1972085775
135	0.1961573221
136	0.1939450658
137	0.1915421896
138	0.1892403388
139	0.1877873383
140	0.1867217533
141	0.1841909702
142	0.1826490138
143	0.1805862733
144	0.1804071679
145	0.1793680804
146	0.1788006143
147	0.1771933265
148	0.1766778513
149	0.1745220927
150	0.1733396316
151	0.1719288457
152	0.1706406135
153	0.1696769505
154	0.1683776636
155	0.1672444409
156	0.1661677398
157	0.1652256343
158	0.1642805806
159	0.1628255158
160	0.1616431
161	0.161140301
162	0.1608490863
163	0.1590259857
164	0.158555503
165	0.1576541052
166	0.1551281172
167	0.1534646986
168	0.1524061673
169	0.1519834971
170	0.151064465
171	0.1491834398
172	0.1487161341
173	0.1483040234
174	0.1469019752
175	0.1456615264
176	0.1453090049
177	0.1444155682
178	0.1428169228
179	0.1422054642
180	0.1408685651
181	0.1397923706
182	0.1382711426
183	0.137196887
184	0.1367456873
185	0.1358281373
186	0.1355600142
187	0.1346985336
188	0.1335478532
189	0.132241501
190	0.1311700547
191	0.1307537548
192	0.1300212825
193	0.129840951
194	0.1296681789
195	0.1281517992
196	0.1277699941
197	0.1274669823
198	0.1269256286
199	0.1253533642
200	0.1245082971
201	0.1241137669
202	0.1236513859
203	0.1230716703
204	0.1216145639
205	0.1203177625
206	0.1198715519
207	0.1188104894
208	0.1178049437
209	0.1174223903
210	0.1158530177
211	0.1145230854
212	0.1136869271
213	0.1129310499
214	0.1127455496
215	0.1117064552
216	0.1104984359
217	0.1095983574
218	0.1090352659
219	0.1088088373
220	0.1084987549
221	0.1075260622
222	0.106800893
223	0.1059804902
224	0.1049606283
225	0.1045114271
226	0.1040973496
227	0.1034696535
228	0.1030477209
229	0.1024252047
230	0.1021772324
231	0.1012012406
232	0.1008957991
233	0.1005995083
234	0.09924178898
235	0.09765314862
236	0.09700634497
237	0.0961957353
238	0.09526314021
239	0.09463374149
240	0.09352961875
241	0.09268511177
242	0.09242273091
243	0.09175876931
244	0.09143147384
245	0.09120909941
246	0.09091674948
