iter	Logloss
0	0.5206297666
1	0.4184669665
2	0.3731372987
3	0.3285521736
4	0.305206988
5	0.2805068898
6	0.2662098459
7	0.254133451
8	0.2436903198
9	0.2355430267
10	0.2295535733
11	0.2246914716
12	0.2199324607
13	0.2164527289
14	0.2135892701
15	0.2106342369
16	0.2081123603
17	0.2057090642
18	0.2038263444
19	0.2022658105
20	0.2006402131
21	0.1991633079
22	0.1977766244
23	0.1965091021
24	0.1953635398
25	0.1943943121
26	0.1930145376
27	0.1920340841
28	0.1908761575
29	0.1897761126
30	0.1885904765
31	0.1877231777
32	0.1863584697
33	0.1855413234
34	0.1847538203
35	0.1838113377
36	0.1831569251
37	0.1821791621
38	0.1813651058
39	0.1804647409
40	0.1795758723
41	0.1788825358
42	0.1780800154
43	0.1774200895
44	0.1767815474
45	0.1760018769
46	0.1754326259
47	0.1746339383
48	0.1741668513
49	0.1733872142
50	0.1724747074
51	0.1715634169
52	0.170827131
53	0.1703306546
54	0.1696278973
55	0.1689812818
56	0.1684869043
57	0.1679708434
58	0.1672902237
59	0.1665661073
60	0.1661711817
61	0.1657038971
62	0.1649082994
63	0.1640955096
64	0.1634275914
65	0.1628854331
66	0.1624221154
67	0.1617625783
68	0.1613389406
69	0.1605698125
70	0.160117687
71	0.159538888
72	0.1591593471
73	0.158728919
74	0.1583575496
75	0.1577661837
76	0.1571227861
77	0.1565295697
78	0.1562033435
79	0.1556193772
80	0.1549196282
81	0.1545140576
82	0.1537382512
83	0.1531133424
84	0.1527302023
85	0.1522112665
86	0.1517374883
87	0.1513314276
88	0.1507653723
89	0.1501249546
90	0.1494628411
91	0.148991425
92	0.1485250085
93	0.1481134588
94	0.1476723857
95	0.1472864041
96	0.146590589
97	0.1461166154
98	0.1455199685
99	0.1451425596
100	0.1446664856
101	0.1441298601
102	0.1437367438
103	0.1430891746
104	0.1425049557
105	0.1421669892
106	0.1418978275
107	0.1412054511
108	0.1407802856
109	0.1402083307
110	0.1399967543
111	0.13961245
112	0.1391805944
113	0.1388509596
114	0.1382764629
